Recette,Ingrédients,Temps_de_cuisson,Niveau_de_difficulté,Type_de_repas,Régime,Pays,Temps_total,Épices/Saveurs
Egusi soup 9,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ghana,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 9,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ghana,soixante minutes,"Épicé, Aromatique"
Thieboudienne 9,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ghana,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 9,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ghana,quarante-cinq minutes,"Épicé, Salé"
Ugali 9,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ghana,trente minutes,Neutre
Supu ya nyama 9,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ghana,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 9,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ghana,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 9,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ghana,quarante-cinq minutes,"Épicé, Salé"
Ndolé 10,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 10,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Sucré"
Eru 10,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante-quinze minutes,"Épicé, Salé"
Achu 10,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,Épicé
Mbongo Tchobi 10,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 10,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Mali,trente minutes,Neutre
Koki 10,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Mali,soixante minutes,Épicé
Bobolo 10,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Mali,soixante minutes,Neutre
Brochettes de viande 10,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Mali,quarante-cinq minutes,Épicé
Banane plantain frit 10,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Mali,vingt minutes,Sucré
Jollof rice 10,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,Épicé
Egusi soup 10,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 10,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Aromatique"
Thieboudienne 10,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 10,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quarante-cinq minutes,"Épicé, Salé"
Ugali 10,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Mali,trente minutes,Neutre
Supu ya nyama 10,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Mali,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 10,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Mali,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 10,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Mali,quarante-cinq minutes,"Épicé, Salé"
Ndolé 11,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 11,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Sucré"
Eru 11,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Achu 11,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Mbongo Tchobi 11,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 11,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Koki 11,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Épicé
Bobolo 11,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Cameroun,soixante minutes,Neutre
Brochettes de viande 11,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Cameroun,quarante-cinq minutes,Épicé
Banane plantain frit 11,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Cameroun,vingt minutes,Sucré
Jollof rice 11,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,Épicé
Egusi soup 11,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 11,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Aromatique"
Thieboudienne 11,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 11,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ugali 11,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Cameroun,trente minutes,Neutre
Supu ya nyama 11,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 11,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Cameroun,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 11,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Cameroun,quarante-cinq minutes,"Épicé, Salé"
Ndolé 12,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 12,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Sucré"
Eru 12,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Achu 12,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Mbongo Tchobi 12,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 12,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Koki 12,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Épicé
Bobolo 12,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Nigéria,soixante minutes,Neutre
Brochettes de viande 12,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Nigéria,quarante-cinq minutes,Épicé
Banane plantain frit 12,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Nigéria,vingt minutes,Sucré
Jollof rice 12,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,Épicé
Egusi soup 12,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 12,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Aromatique"
Thieboudienne 12,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 12,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ugali 12,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Nigéria,trente minutes,Neutre
Supu ya nyama 12,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 12,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Nigéria,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 12,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Nigéria,quarante-cinq minutes,"Épicé, Salé"
Ndolé 13,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 13,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Sucré"
Eru 13,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Achu 13,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Mbongo Tchobi 13,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 13,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Koki 13,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Épicé
Bobolo 13,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Sénégal,soixante minutes,Neutre
Brochettes de viande 13,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Sénégal,quarante-cinq minutes,Épicé
Banane plantain frit 13,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Sénégal,vingt minutes,Sucré
Jollof rice 13,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,Épicé
Egusi soup 13,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 13,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Aromatique"
Thieboudienne 13,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 13,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ugali 13,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Sénégal,trente minutes,Neutre
Supu ya nyama 13,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 13,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Sénégal,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 13,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Sénégal,quarante-cinq minutes,"Épicé, Salé"
Ndolé 14,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 14,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Sucré"
Eru 14,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Achu 14,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Mbongo Tchobi 14,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 14,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Koki 14,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Épicé
Bobolo 14,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Ouganda,soixante minutes,Neutre
Brochettes de viande 14,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Ouganda,quarante-cinq minutes,Épicé
Banane plantain frit 14,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Ouganda,vingt minutes,Sucré
Jollof rice 14,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,Épicé
Egusi soup 14,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 14,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Aromatique"
Thieboudienne 14,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 14,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ugali 14,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Ouganda,trente minutes,Neutre
Supu ya nyama 14,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 14,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Ouganda,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 14,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Ouganda,quarante-cinq minutes,"Épicé, Salé"
Ndolé 15,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 15,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Sucré"
Eru 15,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Achu 15,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Mbongo Tchobi 15,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 15,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Koki 15,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Épicé
Bobolo 15,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Kenya,soixante minutes,Neutre
Brochettes de viande 15,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Kenya,quarante-cinq minutes,Épicé
Banane plantain frit 15,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Kenya,vingt minutes,Sucré
Jollof rice 15,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,Épicé
Egusi soup 15,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 15,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Aromatique"
Thieboudienne 15,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 15,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
Ugali 15,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Kenya,trente minutes,Neutre
Supu ya nyama 15,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Kenya,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 15,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Kenya,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 15,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Kenya,quarante-cinq minutes,"Épicé, Salé"
Ndolé 16,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 16,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Sucré"
Eru 16,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante-quinze minutes,"Épicé, Salé"
Achu 16,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,Épicé
Mbongo Tchobi 16,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 16,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Tanzanie,trente minutes,Neutre
Koki 16,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Tanzanie,soixante minutes,Épicé
Bobolo 16,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Tanzanie,soixante minutes,Neutre
Brochettes de viande 16,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Tanzanie,quarante-cinq minutes,Épicé
Banane plantain frit 16,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Tanzanie,vingt minutes,Sucré
Jollof rice 16,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,Épicé
Egusi soup 16,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 16,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Aromatique"
Thieboudienne 16,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 16,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quarante-cinq minutes,"Épicé, Salé"
Ugali 16,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Tanzanie,trente minutes,Neutre
Supu ya nyama 16,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 16,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Tanzanie,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 16,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Tanzanie,quarante-cinq minutes,"Épicé, Salé"
Ndolé 17,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 17,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,"Épicé, Sucré"
Eru 17,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,soixante-quinze minutes,"Épicé, Salé"
Achu 17,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,Épicé
Mbongo Tchobi 17,"Poisson, pâte d'arachide, épices, huile de palme",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,quatre-vingt-dix minutes,"Épicé, Salé"
Fufu corn 17,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Éthiopie,trente minutes,Neutre
Koki 17,"Haricots rouges, feuilles de manioc, huile de palme, épices",une heure,Moyen,Déjeuner/Dîner,Végétarien,Éthiopie,soixante minutes,Épicé
Bobolo 17,"Plantains fermentés, feuilles de bananier",une heure,Moyen,Déjeuner/Dîner,Végétarien,Éthiopie,soixante minutes,Neutre
Brochettes de viande 17,"Viande de bœuf, épices, huile",quarante-cinq minutes,Facile,Snack/Déjeuner,Omnivore,Éthiopie,quarante-cinq minutes,Épicé
Banane plantain frit 17,"Bananes plantains mûres, huile, sel",vingt minutes,Facile,Snack/Déjeuner,Végétarien,Éthiopie,vingt minutes,Sucré
Jollof rice 17,"Riz, tomates, poivrons, oignons, huile, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,Épicé
Egusi soup 17,"Graines de melon, viande, poisson, feuilles vertes, huile",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,soixante-quinze minutes,"Épicé, Salé"
Couscous sénégalais 17,"Semoule de mil, légumes, viande, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,"Épicé, Aromatique"
Thieboudienne 17,"Poisson, riz, légumes, huile, épices",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,quatre-vingt-dix minutes,"Épicé, Salé"
Matoke 17,"Bananes plantains vertes, huile, oignons, tomates, viande",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,quarante-cinq minutes,"Épicé, Salé"
Ugali 17,"Farine de maïs, eau, sel",trente minutes,Facile,Déjeuner/Dîner,Végétarien,Éthiopie,trente minutes,Neutre
Supu ya nyama 17,"Viande, légumes, épices, huile",une heure,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,soixante minutes,"Épicé, Salé"
Injera avec Doro Wat 17,"Farine de teff, poulet, épices, huile",une heure trente minutes,Difficile,Déjeuner/Dîner,Omnivore,Éthiopie,quatre-vingt-dix minutes,"Épicé, Aromatique"
Bunny Chow 17,"Pain, curry de viande, légumes, épices",quarante-cinq minutes,Moyen,Déjeuner/Dîner,Omnivore,Éthiopie,quarante-cinq minutes,"Épicé, Salé"
Ndolé 18,"Feuilles de ndolé, arachides, viande ou poisson, huile, épices",une heure trente minutes,Moyen,Déjeuner/Dîner,Omnivore,Afrique du Sud,quatre-vingt-dix minutes,"Épicé, Amer"
Poulet DG 18,"Poulet, plantain, huile, oignon, tomate, épices",une heure,Moyen,Déjeuner/Dîner,Omnivore,Afrique du Sud,soixante minutes,"Épicé, Sucré"
Eru 18,"Feuilles d'eru, waterleaf, poisson fumé, viande, huile de palme",une heure quinze minutes,Difficile,Déjeuner/Dîner,Omnivore,Afrique du Sud,soixante-quinze minutes,"Épicé, Salé"
Achu 18,"Ignames, piment, huile, bouillon, épices",une heure,Difficile,Déjeuner/Dîner,Omnivore,Afrique du Sud,soixante minutes,Épicé
